"","area","structure_id_path"
"324","Cortex","/997/8/567/688/695/315/254/894/480149314/480149334/"
"325","Cortex","/997/8/567/688/695/315/254/894/480149314/480149338/"
"326","Cortex","/997/8/567/688/695/315/254/879/"
"327","Cortex","/997/8/567/688/695/315/254/879/442/"
"328","Cortex","/997/8/567/688/695/315/254/879/434/"
"329","Cortex","/997/8/567/688/695/315/254/879/545/"
"330","Cortex","/997/8/567/688/695/315/254/879/610/"
"331","Cortex","/997/8/567/688/695/315/254/879/274/"
"332","Cortex","/997/8/567/688/695/315/254/879/330/"
"333","Cortex","/997/8/567/688/695/315/254/886/"
"334","Cortex","/997/8/567/688/695/315/254/886/542/"
"335","Cortex","/997/8/567/688/695/315/254/886/606/"
"336","Cortex","/997/8/567/688/695/315/254/886/430/"
"337","Cortex","/997/8/567/688/695/315/254/886/687/"
"338","Cortex","/997/8/567/688/695/315/254/886/590/"
"339","Cortex","/997/8/567/688/695/315/254/886/622/"
"340","Cortex","/997/8/567/688/695/315/22/"
"341","Cortex","/997/8/567/688/695/315/22/532/"
"342","Cortex","/997/8/567/688/695/315/22/241/"
"343","Cortex","/997/8/567/688/695/315/22/635/"
"344","Cortex","/997/8/567/688/695/315/22/683/"
"345","Cortex","/997/8/567/688/695/315/22/308/"
"346","Cortex","/997/8/567/688/695/315/22/340/"
"347","Cortex","/997/8/567/688/695/315/22/312782546/"
"348","Cortex","/997/8/567/688/695/315/22/312782546/312782550/"
"349","Cortex","/997/8/567/688/695/315/22/312782546/312782554/"
"350","Cortex","/997/8/567/688/695/315/22/312782546/312782558/"
"351","Cortex","/997/8/567/688/695/315/22/312782546/312782562/"
"352","Cortex","/997/8/567/688/695/315/22/312782546/312782566/"
"353","Cortex","/997/8/567/688/695/315/22/312782546/312782570/"
"354","Cortex","/997/8/567/688/695/315/22/417/"
"355","Cortex","/997/8/567/688/695/315/22/417/312782604/"
"356","Cortex","/997/8/567/688/695/315/22/417/312782608/"
"357","Cortex","/997/8/567/688/695/315/22/417/312782612/"
"358","Cortex","/997/8/567/688/695/315/22/417/312782616/"
"359","Cortex","/997/8/567/688/695/315/22/417/312782620/"
"360","Cortex","/997/8/567/688/695/315/22/417/312782624/"
"361","AUD","/997/8/567/688/695/315/541/"
"362","AUD","/997/8/567/688/695/315/541/97/"
"363","AUD","/997/8/567/688/695/315/541/1127/"
"364","AUD","/997/8/567/688/695/315/541/234/"
"365","AUD","/997/8/567/688/695/315/541/289/"
"366","AUD","/997/8/567/688/695/315/541/729/"
"367","AUD","/997/8/567/688/695/315/541/786/"
"368","Cortex","/997/8/567/688/695/315/922/"
"369","Cortex","/997/8/567/688/695/315/922/540/"
"370","Cortex","/997/8/567/688/695/315/922/888/"
"371","Cortex","/997/8/567/688/695/315/922/692/"
"372","Cortex","/997/8/567/688/695/315/922/335/"
"373","Cortex","/997/8/567/688/695/315/922/368/"
"374","Cortex","/997/8/567/688/695/315/895/"
"375","Cortex","/997/8/567/688/695/315/895/836/"
"376","Cortex","/997/8/567/688/695/315/895/427/"
"377","Cortex","/997/8/567/688/695/315/895/988/"
"378","Cortex","/997/8/567/688/695/315/895/977/"
"379","Cortex","/997/8/567/688/695/315/895/1045/"
"380","undefined","/997/8/567/688/695/698/"
"381","undefined","/997/8/567/688/695/698/507/"
"382","undefined","/997/8/567/688/695/698/507/212/"
"383","undefined","/997/8/567/688/695/698/507/220/"
"384","undefined","/997/8/567/688/695/698/507/228/"
"385","undefined","/997/8/567/688/695/698/507/236/"
"386","undefined","/997/8/567/688/695/698/507/244/"
"387","undefined","/997/8/567/688/695/698/151/"
"388","undefined","/997/8/567/688/695/698/151/188/"
"389","undefined","/997/8/567/688/695/698/151/196/"
"390","undefined","/997/8/567/688/695/698/151/204/"
"391","undefined","/997/8/567/688/695/698/159/"
"392","undefined","/997/8/567/688/695/698/159/167/"
"393","undefined","/997/8/567/688/695/698/159/175/"
"394","undefined","/997/8/567/688/695/698/159/183/"
"395","undefined","/997/8/567/688/695/698/159/191/"
"396","undefined","/997/8/567/688/695/698/159/199/"
"397","undefined","/997/8/567/688/695/698/159/160/"
"398","undefined","/997/8/567/688/695/698/159/168/"
"399","undefined","/997/8/567/688/695/698/589/"
"400","undefined","/997/8/567/688/695/698/589/597/"
"401","undefined","/997/8/567/688/695/698/589/597/297/"
"402","undefined","/997/8/567/688/695/698/589/597/1034/"
"403","undefined","/997/8/567/688/695/698/589/597/1042/"
"404","undefined","/997/8/567/688/695/698/589/597/1050/"
"405","undefined","/997/8/567/688/695/698/589/597/1059/"
"406","undefined","/997/8/567/688/695/698/589/605/"
"407","undefined","/997/8/567/688/695/698/589/605/306/"
"408","undefined","/997/8/567/688/695/698/589/605/1067/"
"409","undefined","/997/8/567/688/695/698/589/605/1075/"
"410","undefined","/997/8/567/688/695/698/589/605/1082/"
"411","undefined","/997/8/567/688/695/698/814/"
"412","undefined","/997/8/567/688/695/698/814/496/"
"413","undefined","/997/8/567/688/695/698/814/535/"
"414","undefined","/997/8/567/688/695/698/814/360/"
"415","undefined","/997/8/567/688/695/698/814/646/"
"416","undefined","/997/8/567/688/695/698/814/267/"
"417","undefined","/997/8/567/688/695/698/961/"
"418","undefined","/997/8/567/688/695/698/961/152/"
"419","undefined","/997/8/567/688/695/698/961/276/"
"420","undefined","/997/8/567/688/695/698/961/284/"
"421","undefined","/997/8/567/688/695/698/961/291/"
"422","undefined","/997/8/567/688/695/698/619/"
"423","undefined","/997/8/567/688/695/698/619/392/"
"424","undefined","/997/8/567/688/695/698/619/260/"
"425","undefined","/997/8/567/688/695/698/619/268/"
"426","undefined","/997/8/567/688/695/698/619/1139/"
"427","undefined","/997/8/567/688/695/698/631/"
"428","undefined","/997/8/567/688/695/698/631/639/"
"429","undefined","/997/8/567/688/695/698/631/639/192/"
"430","undefined","/997/8/567/688/695/698/631/639/200/"
"431","undefined","/997/8/567/688/695/698/631/639/208/"
"432","undefined","/997/8/567/688/695/698/631/647/"
"433","undefined","/997/8/567/688/695/698/631/647/655/"
"434","undefined","/997/8/567/688/695/698/631/647/655/584/"
"435","undefined","/997/8/567/688/695/698/631/647/655/376/"
"436","undefined","/997/8/567/688/695/698/631/647/655/216/"
"437","undefined","/997/8/567/688/695/698/631/647/655/224/"
"438","undefined","/997/8/567/688/695/698/631/647/655/232/"
"439","undefined","/997/8/567/688/695/698/631/647/663/"
"440","undefined","/997/8/567/688/695/698/631/647/663/592/"
"441","undefined","/997/8/567/688/695/698/631/647/663/383/"
"442","undefined","/997/8/567/688/695/698/631/647/663/240/"
"443","undefined","/997/8/567/688/695/698/631/647/663/248/"
"444","undefined","/997/8/567/688/695/698/631/647/663/256/"
"445","undefined","/997/8/567/688/695/698/788/"
"446","undefined","/997/8/567/688/695/698/788/400/"
"447","undefined","/997/8/567/688/695/698/788/408/"
"448","undefined","/997/8/567/688/695/698/788/416/"
"449","undefined","/997/8/567/688/695/698/788/424/"
"450","undefined","/997/8/567/688/695/698/566/"
"451","undefined","/997/8/567/688/695/698/566/517/"
"452","undefined","/997/8/567/688/695/698/566/1140/"
"453","undefined","/997/8/567/688/695/698/566/1141/"
"454","undefined","/997/8/567/688/695/698/566/1142/"
"455","HIP","/997/8/567/688/695/1089/"
"456","HIP","/997/8/567/688/695/1089/1080/"
"457","HIP","/997/8/567/688/695/1089/1080/375/"
"458","HIP","/997/8/567/688/695/1089/1080/375/382/"
"459","HIP","/997/8/567/688/695/1089/1080/375/382/391/"
"460","HIP","/997/8/567/688/695/1089/1080/375/382/399/"
"461","HIP","/997/8/567/688/695/1089/1080/375/382/407/"
"462","HIP","/997/8/567/688/695/1089/1080/375/382/415/"
"463","HIP","/997/8/567/688/695/1089/1080/375/423/"
"464","HIP","/997/8/567/688/695/1089/1080/375/423/431/"
"465","HIP","/997/8/567/688/695/1089/1080/375/423/438/"
"466","HIP","/997/8/567/688/695/1089/1080/375/423/446/"
"467","HIP","/997/8/567/688/695/1089/1080/375/423/454/"
"468","HIP","/997/8/567/688/695/1089/1080/375/463/"
"469","HIP","/997/8/567/688/695/1089/1080/375/463/471/"
"470","HIP","/997/8/567/688/695/1089/1080/375/463/479/"
"471","HIP","/997/8/567/688/695/1089/1080/375/463/486/"
"472","HIP","/997/8/567/688/695/1089/1080/375/463/495/"
"473","HIP","/997/8/567/688/695/1089/1080/375/463/504/"
"474","HIP","/997/8/567/688/695/1089/1080/726/"
"475","HIP","/997/8/567/688/695/1089/1080/726/10703/"
"476","HIP","/997/8/567/688/695/1089/1080/726/10704/"
"477","HIP","/997/8/567/688/695/1089/1080/726/632/"
"478","HIP","/997/8/567/688/695/1089/1080/726/10702/"
"479","HIP","/997/8/567/688/695/1089/1080/726/734/"
"480","HIP","/997/8/567/688/695/1089/1080/726/734/742/"
"481","HIP","/997/8/567/688/695/1089/1080/726/734/751/"
